grain,level,horizon_days,quantile,feature,importance
Search,campaign_type,90,0.1,spend,-818.8068
Search,campaign_type,90,0.1,spend_lag_1,353.8639
Search,campaign_type,90,0.1,spend_lag_7,-63.2056
Search,campaign_type,90,0.1,spend_lag_14,22.4284
Search,campaign_type,90,0.1,spend_rolling_mean_7d,134.8734
Search,campaign_type,90,0.1,spend_rolling_mean_14d,-25.2921
Search,campaign_type,90,0.1,spend_rolling_mean_30d,11.331
Search,campaign_type,90,0.1,revenue_rolling_mean_7d,38.669
Search,campaign_type,90,0.1,revenue_rolling_mean_14d,14.0256
Search,campaign_type,90,0.1,revenue_rolling_mean_30d,-16.2011
Search,campaign_type,90,0.1,spend_share_of_total,-24.543
Search,campaign_type,90,0.1,days_since_start,0.0
Search,campaign_type,90,0.1,month_sin,0.0
Search,campaign_type,90,0.1,month_cos,0.0
Search,campaign_type,90,0.1,dayofmonth_sin,55.2101
Search,campaign_type,90,0.1,dayofmonth_cos,-1.2252
Search,campaign_type,90,0.1,is_weekend,3.3461
Search,campaign_type,90,0.1,target_spend_90d,-166.9208
Search,campaign_type,90,0.1,dow_Monday,-1.9878
Search,campaign_type,90,0.1,dow_Saturday,3.4468
Search,campaign_type,90,0.1,dow_Sunday,-5.4943
Search,campaign_type,90,0.1,dow_Thursday,-1.2656
Search,campaign_type,90,0.1,dow_Tuesday,-0.7642
Search,campaign_type,90,0.1,dow_Wednesday,-0.1394
Search,campaign_type,90,0.5,spend,28.4851
Search,campaign_type,90,0.5,spend_lag_1,62.7109
Search,campaign_type,90,0.5,spend_lag_7,-8.1032
Search,campaign_type,90,0.5,spend_lag_14,-21.3022
Search,campaign_type,90,0.5,spend_rolling_mean_7d,35.159
Search,campaign_type,90,0.5,spend_rolling_mean_14d,30.863
Search,campaign_type,90,0.5,spend_rolling_mean_30d,2.3833
Search,campaign_type,90,0.5,revenue_rolling_mean_7d,62.3334
Search,campaign_type,90,0.5,revenue_rolling_mean_14d,-6.6066
Search,campaign_type,90,0.5,revenue_rolling_mean_30d,1.6911
Search,campaign_type,90,0.5,spend_share_of_total,88.4187
Search,campaign_type,90,0.5,days_since_start,0.0
Search,campaign_type,90,0.5,month_sin,0.0
Search,campaign_type,90,0.5,month_cos,0.0
Search,campaign_type,90,0.5,dayofmonth_sin,-40.5238
Search,campaign_type,90,0.5,dayofmonth_cos,-0.4858
Search,campaign_type,90,0.5,is_weekend,2.2099
Search,campaign_type,90,0.5,target_spend_90d,1072.908
Search,campaign_type,90,0.5,dow_Monday,0.0119
Search,campaign_type,90,0.5,dow_Saturday,-0.3804
Search,campaign_type,90,0.5,dow_Sunday,-0.5855
Search,campaign_type,90,0.5,dow_Thursday,-0.5771
Search,campaign_type,90,0.5,dow_Tuesday,-1.4588
Search,campaign_type,90,0.5,dow_Wednesday,0.6459
Search,campaign_type,90,0.9,spend,-179.3751
Search,campaign_type,90,0.9,spend_lag_1,-9.53
Search,campaign_type,90,0.9,spend_lag_7,4.6929
Search,campaign_type,90,0.9,spend_lag_14,-106.3936
Search,campaign_type,90,0.9,spend_rolling_mean_7d,-8.1773
Search,campaign_type,90,0.9,spend_rolling_mean_14d,14.0604
Search,campaign_type,90,0.9,spend_rolling_mean_30d,129.9386
Search,campaign_type,90,0.9,revenue_rolling_mean_7d,0.1743
Search,campaign_type,90,0.9,revenue_rolling_mean_14d,-18.6351
Search,campaign_type,90,0.9,revenue_rolling_mean_30d,-72.7544
Search,campaign_type,90,0.9,spend_share_of_total,7.5912
Search,campaign_type,90,0.9,days_since_start,0.0
Search,campaign_type,90,0.9,month_sin,0.0
Search,campaign_type,90,0.9,month_cos,0.0
Search,campaign_type,90,0.9,dayofmonth_sin,39.3809
Search,campaign_type,90,0.9,dayofmonth_cos,-20.4052
Search,campaign_type,90,0.9,is_weekend,-5.416
Search,campaign_type,90,0.9,target_spend_90d,1065.7654
Search,campaign_type,90,0.9,dow_Monday,-0.35
Search,campaign_type,90,0.9,dow_Saturday,-0.2386
Search,campaign_type,90,0.9,dow_Sunday,0.5709
Search,campaign_type,90,0.9,dow_Thursday,0.5948
Search,campaign_type,90,0.9,dow_Tuesday,-0.0877
